Block,Block_Group,County,Prim,State,Tract_Subset,Tract_Subset_Group,US
0/1,0/1,31/1000,15363/65000,999/10000,0/1,0/1,73/10000
0/1,0/1,31/1000,15363/65000,999/10000,0/1,0/1,73/10000
0/1,0/1,31/1000,15363/65000,999/10000,0/1,0/1,73/10000
0/1,0/1,31/1000,15363/65000,999/10000,0/1,0/1,73/10000
0/1,0/1,31/1000,15363/65000,999/10000,0/1,0/1,73/10000
0/1,0/1,31/1000,15363/65000,999/10000,0/1,0/1,73/10000
0/1,0/1,31/1000,15363/65000,999/10000,0/1,0/1,73/10000
0/1,0/1,31/1000,15363/65000,999/10000,0/1,0/1,73/10000
0/1,0/1,31/250,15363/65000,999/10000,0/1,0/1,73/10000
0/1,0/1,31/250,15363/16250,999/2500,0/1,0/1,73/2500
