Block,Block_Group,County,Prim,State,Tract_Subset,Tract_Subset_Group,US
11/10000,43/1000,0/1,0/1,243/1040,217/2500,0/1,73/10000
11/10000,43/1000,0/1,0/1,243/1040,217/2500,0/1,73/10000
11/10000,43/1000,0/1,0/1,243/1040,217/2500,0/1,73/10000
11/10000,43/1000,0/1,0/1,243/1040,217/2500,0/1,73/10000
11/10000,43/1000,0/1,0/1,243/1040,217/2500,0/1,73/10000
11/10000,43/1000,0/1,0/1,243/1040,217/2500,0/1,73/10000
11/10000,43/1000,0/1,0/1,243/1040,217/2500,0/1,73/10000
11/10000,43/1000,0/1,0/1,243/1040,217/2500,0/1,73/10000
11/10000,43/1000,0/1,0/1,243/1040,217/625,0/1,73/10000
11/10000,43/1000,0/1,0/1,243/260,217/625,0/1,73/2500
