Block,Block_Group,County,Prim,State,Tract_Subset,Tract_Subset_Group,US
11/10000,0/1,4447/20000,0/1,999/10000,0/1,0/1,73/10000
11/10000,0/1,4447/20000,0/1,999/10000,0/1,0/1,73/10000
11/10000,0/1,4447/20000,0/1,999/10000,0/1,0/1,73/10000
11/10000,0/1,4447/20000,0/1,999/10000,0/1,0/1,73/10000
11/10000,0/1,4447/20000,0/1,999/10000,0/1,0/1,73/10000
11/10000,0/1,4447/20000,0/1,999/10000,0/1,0/1,73/10000
11/10000,0/1,4447/20000,0/1,999/10000,0/1,0/1,73/10000
11/10000,0/1,4447/20000,0/1,999/10000,0/1,0/1,73/10000
11/10000,0/1,4447/5000,0/1,999/10000,0/1,0/1,73/10000
11/10000,0/1,4447/5000,0/1,999/2500,0/1,0/1,73/2500
