Block,Block_Group,County,Prim,State,Tract_Subset,Tract_Subset_Group,US
11/10000,0/1,0/1,0/1,243/1040,4547/40000,0/1,73/10000
11/10000,0/1,0/1,0/1,243/1040,4547/40000,0/1,73/10000
11/10000,0/1,0/1,0/1,243/1040,4547/40000,0/1,73/10000
11/10000,0/1,0/1,0/1,243/1040,4547/40000,0/1,73/10000
11/10000,0/1,0/1,0/1,243/1040,4547/40000,0/1,73/10000
11/10000,0/1,0/1,0/1,243/1040,4547/40000,0/1,73/10000
11/10000,0/1,0/1,0/1,243/1040,4547/40000,0/1,73/10000
11/10000,0/1,0/1,0/1,243/1040,4547/40000,0/1,73/10000
11/10000,0/1,0/1,0/1,243/1040,4547/10000,0/1,73/10000
11/10000,0/1,0/1,0/1,243/260,4547/10000,0/1,73/2500
