Block,Block_Group,County,Prim,State,Tract_Subset,Tract_Subset_Group,US
0/1,0/1,5587/80000,0/1,999/10000,9149/80000,239/5000,73/10000
0/1,0/1,5587/80000,0/1,999/10000,9149/80000,239/5000,73/10000
0/1,0/1,5587/80000,0/1,999/10000,9149/80000,239/5000,73/10000
0/1,0/1,5587/80000,0/1,999/10000,9149/80000,239/5000,73/10000
0/1,0/1,5587/80000,0/1,999/10000,9149/80000,239/5000,73/10000
0/1,0/1,5587/80000,0/1,999/10000,9149/80000,239/5000,73/10000
0/1,0/1,5587/80000,0/1,999/10000,9149/80000,239/5000,73/10000
0/1,0/1,5587/80000,0/1,999/10000,9149/80000,239/5000,73/10000
0/1,0/1,5587/20000,0/1,999/10000,9149/20000,239/5000,73/10000
0/1,0/1,5587/20000,0/1,999/2500,9149/20000,239/1250,73/2500
