Block,Block_Group,County,Prim,State,Tract_Subset,Tract_Subset_Group,US
11/10000,0/1,0/1,0/1,48563/130000,0/1,0/1,73/10000
11/10000,0/1,0/1,0/1,48563/130000,0/1,0/1,73/10000
11/10000,0/1,0/1,0/1,48563/130000,0/1,0/1,73/10000
11/10000,0/1,0/1,0/1,48563/130000,0/1,0/1,73/10000
11/10000,0/1,0/1,0/1,48563/130000,0/1,0/1,73/10000
11/10000,0/1,0/1,0/1,48563/130000,0/1,0/1,73/10000
11/10000,0/1,0/1,0/1,48563/130000,0/1,0/1,73/10000
11/10000,0/1,0/1,0/1,48563/130000,0/1,0/1,73/10000
11/10000,0/1,0/1,0/1,48563/130000,0/1,0/1,73/10000
11/10000,0/1,0/1,0/1,48563/32500,0/1,0/1,73/2500
