Block,Block_Group,County,Prim,State,Tract_Subset,Tract_Subset_Group,US
0/1,441/10000,5587/80000,0/1,999/10000,0/1,10051/65000,73/10000
0/1,441/10000,5587/80000,0/1,999/10000,0/1,10051/65000,73/10000
0/1,441/10000,5587/80000,0/1,999/10000,0/1,10051/65000,73/10000
0/1,441/10000,5587/80000,0/1,999/10000,0/1,10051/65000,73/10000
0/1,441/10000,5587/80000,0/1,999/10000,0/1,10051/65000,73/10000
0/1,441/10000,5587/80000,0/1,999/10000,0/1,10051/65000,73/10000
0/1,441/10000,5587/80000,0/1,999/10000,0/1,10051/65000,73/10000
0/1,441/10000,5587/80000,0/1,999/10000,0/1,10051/65000,73/10000
0/1,441/10000,5587/20000,0/1,999/10000,0/1,10051/65000,73/10000
0/1,441/10000,5587/20000,0/1,999/2500,0/1,10051/16250,73/2500
