Block,Block_Group,County,Prim,State,Tract_Subset,Tract_Subset_Group,US
11/10000,43/1000,4347/40000,0/1,999/10000,217/2500,0/1,73/10000
11/10000,43/1000,4347/40000,0/1,999/10000,217/2500,0/1,73/10000
11/10000,43/1000,4347/40000,0/1,999/10000,217/2500,0/1,73/10000
11/10000,43/1000,4347/40000,0/1,999/10000,217/2500,0/1,73/10000
11/10000,43/1000,4347/40000,0/1,999/10000,217/2500,0/1,73/10000
11/10000,43/1000,4347/40000,0/1,999/10000,217/2500,0/1,73/10000
11/10000,43/1000,4347/40000,0/1,999/10000,217/2500,0/1,73/10000
11/10000,43/1000,4347/40000,0/1,999/10000,217/2500,0/1,73/10000
11/10000,43/1000,4347/10000,0/1,999/10000,217/625,0/1,73/10000
11/10000,43/1000,4347/10000,0/1,999/2500,217/625,0/1,73/2500
