delta_zcdp,epsilon,delta_fdp_first_term,delta_fdp_second_term,delta_fdp
5e-1,8.6713966458383198610191205895232251030349356444878,0.11951308000849208799706423732376853799705940290228,0.043945526611749281673611969252205670949046632342135,0.075567553396742806323452268071562867048012770560145
1e-1,11.722640147935651532147265159134133779078549105053,0.015937863726422542490494935151388473911134858655099,0.0072885191692418414083653450038281448531966708016151,0.0086493445571807010821295901475603290579381878534839
5e-2,12.673340690670768485878004085313284122055101191436,0.0071877203536679247546980227832833691594553222445455,0.0034590057631212707816229550860058448769819245451619,0.0037287145905466539730750676972775242824733976993836
1e-2,14.522906144822171446983689015849892625334233685326,0.0012032830933810427802844914711677688340404599064143,0.00062932878373203414439510813019814438615607440327119,0.00057395430964900863588938334096962444788438550314311
5e-3,15.217210567773134694022770052245397621018937758513,0.00056647715525990123639770388446459751757204558200534,0.00030431723603735962636129890164363479791313697358311,0.00026215991922254161003640498282096271965890860842223
1e-3,16.671625817753005514738379466518576477673896369144,0.00010083189113266469284727953447028734634225096247337,0.000056932980235612978006260129295552408952512479713883,0.000043898910897051714841019405174734937389738482759487
5e-4,17.245065819464075069415781819490493336700202445963,0.000048304900082524773697950922578885662503836310592339,0.000027758423634215484058526597972714862226554823496429,0.00002054647644830928963942432460617080027728148709591
1e-4,18.483080295871303064294530318268267558157098210106,0.0000088560235967073012020548915291998425281091013869181,0.0000052684219903361723103109371456751163107988787504603,0.0000035876016063711288917439543835247262173102226364578
5e-5,18.982625946909712141796808713532594953181983398303,0.0000042833531592688482427427139692640380079276556502212,0.0000025810210488540543257543488370267295331436380145882,0.000001702332110414793916988365132237308474784017635633
1e-5,20.079003728602851376794634074850503858829093290368,0.00000079916780483247543433491459765939049450994359333711,0.00000049428157828957813069456480384975427097341181457926,0.00000030488622654289730364034979380963622353653177875785
5e-6,20.527414252511891213316665506019508421171241588988,0.00000038887571839999059016300617325484049848605397417132,0.00000024291858442382256832640245133429317794929119186902,0.0000001459571339761680218366037219205473205367627823023
1e-6,21.521828799067969562118118613180983807576065871147,0.000000073402176185450042105646209729431165415762198283859,0.000000046809332922037036870960436182401274390202212792045,0.000000026592843263413005234685773547029891025559985491814
5e-7,21.932157151401989509243193199895768006006022537999,0.000000035867048017260513593399512980592843607499236136103,0.000000023056943321001088871272688237129143417109356180536,0.000000012810104696259424722126824743463700190389879955567
1e-7,22.848643384774444806023779734079408980163099544135,0.000000006826275020604640651218689376690693667852843925024,0.0000000044632161449078067425198026149665936698401634591158,0.0000000023630588756968339086988867617240999980126804659082
5e-8,23.229191999621605469252182735167132394479132690962,0.0000000033457927683037753852721090660472728882379668475297,0.0000000022022120895920459051136700082394621911800981487755,0.0000000011435806787117294801584390578078106970578686987542
