delta_zcdp,epsilon,delta_fdp_first_term,delta_fdp_second_term,delta_fdp
5e-1,8.6713966458383198610191205895232251030349356444878,0.11951594643212937720292581521408247457064254720022,0.043946738039226022202084143490795010368961810598673,0.075569208392903355000841671723287464201680736601547
1e-1,11.722640147935651532147265159134133779078549105053,0.015937847746511895942624252325086681272513316724615,0.0072885654823133890071146136725091296597377421847692,0.0086492822641985069355096386525775516127755745398458
5e-2,12.673340690670768485878004085313284122055101191436,0.0071876301044516525484391109575215508291615152908623,0.0034589753713386469241003031824939598235027093100476,0.0037286547331130056243388077750275910056588059808147
1e-2,14.522906144822171446983689015849892625334233685326,0.0012032595960894213369437455967472119520810288566178,0.0006293145396225955065700274807703606774533277706441,0.0005739450564668258303737181159768512746277010859737
5e-3,15.217210567773134694022770052245397621018937758513,0.00056646871414443682454729637443316552549094046385371,0.00030431131510852669804261610604833945445314787312442,0.00026215739903591012650468026838482607103779259072929
1e-3,16.671625817753005514738379466518576477673896369144,0.00010083230202192758761061003184274264069879273285767,0.000056932943485459416426006049023575442219309224797683,0.000043899358536468171184603982819167198479483508059987
5e-4,17.245065819464075069415781819490493336700202445963,0.000048305515128018421608583404559544122638346461801949,0.000027758672687534592227810356838183777369168142665851,0.000020546842440483829380773047721360345269178319136098
1e-4,18.483080295871303064294530318268267558157098210106,0.00000885625784919343102563673929440309541670384310936,0.0000052685555898989333488020742185844551149401354619966,0.0000035877022592944976768346650758186403017637076473634
5e-5,18.982625946909712141796808713532594953181983398303,0.0000042834769356669906002788788379061457973078402062259,0.0000025810959869816851497818889833524643036662505318904,0.0000017023809486853054504969898545536814936415896743355
1e-5,20.079003728602851376794634074850503858829093290368,0.00000079918862000795678607803108208498144013014132542939,0.00000049429558302937489523483743297320974789264067113319,0.0000003048930369785818908431936491117716922375006542962
5e-6,20.527414252511891213316665506019508421171241588988,0.00000038888426910352067421504957461700350122626340716827,0.00000024292463763748663713703123761665652863230401521703,0.00000014595963146603403707801833700034697259395939195124
1e-6,21.521828799067969562118118613180983807576065871147,0.000000073402757849400560495053901549336405583117003290925,0.000000046809848042362045071256247059462884959240813320849,0.000000026592909807038515423797654489873520623876189970076
5e-7,21.932157151401989509243193199895768006006022537999,0.000000035867111194900815796516165989942414319594606307766,0.000000023057054935528454966548436344700065059016739232845,0.000000012810056259372360829967729645242349260577867074921
1e-7,22.848643384774444806023779734079408980163099544135,0.0000000068261907762498907971233335340311776296200002796316,0.0000000044631690106139497801376064130454951291269927636754,0.0000000023630217656359410169857271209856825004930075159562
5e-8,23.229191999621605469252182735167132394479132690962,0.0000000033457367798315943203721319209865355851306904835655,0.000000002202177942597394317965338197393319628993214440663,0.0000000011435588372342000024067937235932159561374760429025
1e-8,24.083612289644342893967378031699785250668467370652,0.00000000064071341184333172134948305456951757676411300629541,0.00000000042777202098508222718434712280828971979871094677449,0.00000000021294139085824949416513593176122785696540205952092
5e-9,24.440047614869050367248036389671519852744614253077,0.00000000031476915017585554632276074470783437033870700397068,0.00000000021134966668311151323069781446840333556976255411553,0.00000000010341948349274403309206293023943103476894444985515
1e-9,25.243520443806954596441795477402401337235647315159,0.000000000060569618520977140917607645860948495721685538731372,0.000000000041169040463971063315346958502078287635280363308457,0.000000000019400578057006077602260687358870208086405175422915
5e-10,25.579913226783424446330830495104039364625040104694,0.000000000029811628509933639944122455503737275121415329143512,0.000000000020362440436709157712483547026973328296508424732929,0.000000000009449188073224482231638908476763946824906904410583
1e-10,26.340588852722324353781974500154992685015224391761,0.0000000000057586515921011259319638373228794587817433375789017,0.0000000000039754522527792935833499108954080416202417497360874,0.0000000000017831993393218323486139264274714171615015878428143
5e-11,26.659979833330883491498426269077235612248255880349,0.0000000000028385734384337870973991671881959729551021408700384,0.0000000000019680291951233478633732258708894932649102841057695,0.0000000000008705442433104392340259413173064796901918567642689
1e-11,27.384043388357308604847965661029946077426326622372,0.00000000000055005245341757750227002209231077699840898065606323,0.00000000000038495659569629993460860102401107547254342862802077,0.00000000000016509585772127756766142106829970152586555202804246
5e-12,27.68877476808858225176812765629249164801567725676,0.00000000000027146940959201702530252346506421303090937115295467,0.00000000000019071441159651264182389625943331061062520146559213,0.00000000000008075499799550438347862720563090242028416968736254
1e-12,28.381051635506011029476758933037152955347792738288,0.000000000000052743057676553427931586782466134227388424836829459,0.000000000000037364628479900905348366601172800222419280639133613,0.000000000000015378429196652522583220181293334004969144197695846
5e-13,28.672972903541984920285976953238287225100388986965,0.000000000000026057479105428841512566453883226162282266674209243,0.000000000000018522915524727076927014508652470933690748805353076,0.000000000000007534563580701764585551945230755228591517868856167
1e-13,29.337313598087348845104741989269845770858738219659,0.0000000000000050738946026303200384674708440723627645935281317215,0.0000000000000036339948161873578363737499191452537328729755852038,0.0000000000000014398997864429622020937209249271090317205525465177
5e-14,29.6179154160482843634743070593699385793673520008,0.0000000000000025089524286034855910395610927177588457277861613725,0.000000000000001802488689964291793664631453592794461493110656498,7.064637386391937973749296391249643842346755048745e-16
1e-14,30.257450817366547623230352526301465048301079451376,4.8947511062806994886339791862410788759852208478228e-16,3.5405429451677754664335673729890780501724432015737e-16,1.3542081611129240222004118132520008258127776462491e-16
5e-15,30.527955487976122746188655674932495851322631771873,2.4222157205853785637189567528339018148459878164387e-16,1.7569831213095795975447251185503190146828054804812e-16,6.652325992757989661742316342835828001631823359575e-17
1e-15,31.145272105986784101591406607840672346123349451243,4.7333417304088373464597009203567941459288302134486e-17,3.4547814662792018681290922286545738452192380213171e-17,1.2785602641296354783306086917022203007095921921315e-17
5e-16,31.406696680118558309645077590595652834786008499968,2.3438959133590428475182260639672931107437078509581e-17,1.7151515515983068400254170926881116432995183977187e-17,6.287443617607360074928089712791814674441894532394e-18
1e-16,32.003960591742606128589060636536535116314196420213,4.586910956305199907351141975213960879437259165668e-18,3.3756536784738141274879851799170837582429510106307e-18,1.2112572778313857798631567952968771211943081550373e-18
5e-17,32.257162093005765264931845755795889048265725622843,2.27271828009529802786505357455886066459645034752e-18,1.6765050658221512572214344868175285009584646565156e-18,5.962132142731467706436190877413321636379856910044e-19
