delta_zcdp,epsilon,delta_fdp_first_term,delta_fdp_second_term,delta_fdp
5e-1,8.6713966458383198610191205895232251030349356444878,0.11951597567416514200007419030319868907716531978164,0.043946767969839740820442137240383970315716416693619,0.075569207704325401179632053062814718761448903088021
1e-1,11.722640147935651532147265159134133779078549105053,0.015937817310454881179640463239943560886031434370241,0.0072885350203316711868770533049877528037067580420383,0.0086492822901232099927634099349558080823246763282027
5e-2,12.673340690670768485878004085313284122055101191436,0.0071876210114653703487356331990220086974923786835115,0.0034589662534356055100864863533443302097885303079768,0.0037286547580297648386491468456776784877038483755347
1e-2,14.522906144822171446983689015849892625334233685326,0.0012032626502272575989501558606723098208350700665782,0.00062931758991000042119014971427653053963370461680932,0.00057394506031725717776000614639577928120136544976888
5e-3,15.217210567773134694022770052245397621018937758513,0.00056646780443213778169368038713555883540553083934037,0.00030431040434614739061208370143617856163923000378011,0.00026215740008599039108159668569938027376630083556026
1e-3,16.671625817753005514738379466518576477673896369144,0.00010083211921100079933664419564695183433793639472014,0.000056932760860579906304866086842175600691996112073433,0.000043899358350420893031778108804776233645940282646707
5e-4,17.245065819464075069415781819490493336700202445963,0.000048305545341433554699586062902456592016284588295928,0.000027758703053109027646650867815037841058228113635437,0.000020546842288324527052935195087418750958056474660491
1e-4,18.483080295871303064294530318268267558157098210106,0.0000088562516625015564777229544087512504495393715824632,0.0000052685494450642917238588476147515313419562102792881,0.0000035877022174372647538641067939997191075831613031751
5e-5,18.982625946909712141796808713532594953181983398303,0.0000042834677504220352076401377910794383968604317060877,0.0000025810868220476570603688465142964906007531825835702,0.0000017023809283743781472712912767829477961072491225175
1e-5,20.079003728602851376794634074850503858829093290368,0.00000079918800203032469584240912706225283653735058468247,0.00000049429496788274606266497510949011695118668439657094,0.00000030489303414757863317743401757213588535066618811153
5e-6,20.527414252511891213316665506019508421171241588988,0.00000038888578764655960210722334699609096539361817530804,0.00000024292615722061693352412940217675739311800896967606,0.00000014595963042594266858309394481933357227560920563198
1e-6,21.521828799067969562118118613180983807576065871147,0.000000073402940291305784184966272417878786429921168320005,0.000000046810030511862875691320722031530244781072886753767,0.000000026592909779442908493645550386348541648848281566238
5e-7,21.932157151401989509243193199895768006006022537999,0.000000035867080751532950233650573323851648337633323535395,0.00000002305702447185912506911415978961248522783109902245,0.000000012810056279673825164536413534239163109802224512945
1e-7,22.848643384774444806023779734079408980163099544135,0.0000000068262090786945149423919443456753419106250278082126,0.000000004463187297591045567666678308891993089117071441343,0.0000000023630217811034693747252660367833488215079563668696
5e-8,23.229191999621605469252182735167132394479132690962,0.000000003345758109330403053399116484478398037662972073143,0.0000000022021992630310765965577773911633843557745103213755,0.0000000011435588462993264568413390933150136818884617517675
1e-8,24.083612289644342893967378031699785250668467370652,0.00000000064071402607679739738486709136931872259377356227086,0.00000000042777263325911433463347036401060453492926903081585,0.00000000021294139281768306275139672735871418766450453145501
5e-9,24.440047614869050367248036389671519852744614253077,0.00000000031476763128019248549625029084562720522837206374569,0.00000000021134814687297640524526534076124702706893523048389,0.0000000001034194844072160802509849500843801781594368332618
1e-9,25.243520443806954596441795477402401337235647315159,0.000000000060569801654376126863934502687812025985265592244376,0.000000000041169223475004428313121889924361539444908343519798,0.000000000019400578179371698550812612763450486540357248724578
5e-10,25.579913226783424446330830495104039364625040104694,0.00000000002981172004924496559252214523108443477972686331776,0.000000000020362531932413133191325319435830815983098017796369,0.000000000009449188116831832401196825795253618796628845521391
1e-10,26.340588852722324353781974500154992685015224391761,0.0000000000057586576873285504452403825030819176741168857052431,0.0000000000039754583481150779831771960388544883675080063556607,0.0000000000017831993392134724620631864642274293066088793495824
5e-11,26.659979833330883491498426269077235612248255880349,0.0000000000028385703917538275092240704474508209478788020577937,0.0000000000019680261503585856385522377190160215045049046915207,0.000000000000870544241395241870671832728434799443373897366273
1e-11,27.384043388357308604847965661029946077426326622372,0.00000000000055005427715897580088768295418168721755445374332255,0.000000000000384958420568455027138259370459728005248255347787,0.00000000000016509585659052077374942358372195921230619839553555
5e-12,27.68877476808858225176812765629249164801567725676,0.00000000000027147032098703917052545799894831112657083416792932,0.00000000000019071532368252577401567817883928493835489507524728,0.00000000000008075499730451339650977982010902618821593909268204
1e-12,28.381051635506011029476758933037152955347792738288,0.000000000000052743239788017771832927909494820005736894047262864,0.000000000000037364810767199473416793930312319144474810236379639,0.000000000000015378429020818298416133979182500861262083810883225
5e-13,28.672972903541984920285976953238287225100388986965,0.000000000000026057448386258755061322421278479817990740862730108,0.000000000000018522884896918519556524372308395068437935817858335,0.000000000000007534563489340235504798048970084749552805044871773
1e-13,29.337313598087348845104741989269845770858738219659,0.0000000000000050739249848136578285951405027779787451059216553723,0.0000000000000036340252163089142607301187905815061806647690399563,0.000000000000001439899768504743567865021712196472564441152615416
5e-14,29.6179154160482843634743070593699385793673520008,0.0000000000000025089310854519564828010596630744257935181486634665,0.000000000000001802467355364088816788550207949511764787652272618,7.064637300878676660125094551249140287304963908485e-16
1e-14,30.257450817366547623230352526301465048301079451376,4.8947571451794325924776602848422581811368923042451e-16,3.5405489980340626403440483551206301992187946847949e-16,1.3542081471453699521336119297216279819180976194502e-16
5e-15,30.527955487976122746188655674932495851322631771873,2.4222004768597378666039107700551670033887922664268e-16,1.7569678840678107862957960129611356091319666241919e-16,6.652325927919270803081147570940313942568256422349e-17
1e-15,31.145272105986784101591406607840672346123349451243,4.7333234350015725448329720464032982692462993723905e-17,3.4547631914859731482888057300362743248411568827261e-17,1.2785602435155993965441663163670239444051424896644e-17
5e-16,31.406696680118558309645077590595652834786008499968,2.3438989454428818986378513922542084268147109231973e-17,1.7151546043238181181651084925809339396993988588449e-17,6.287443411190637804727428996732744871153120643524e-18
1e-16,32.003960591742606128589060636536535116314196420213,4.5869535736316626600237081524526148746321797818337e-18,3.3756966340161529612048085740040045316664223411437e-18,1.21125693961550969881889957844861034296575744069e-18
5e-17,32.257162093005765264931845755795889048265725622843,2.2726969749775391322820558939359479306259818443271e-18,1.6764841962638436395147942807109707578445047217319e-18,5.962127787136954927672616132249771727814771225952e-19
1e-17,32.836208805604974149044925216248429563399098368351,4.4532685565441212187601827102324504402316256217026e-19,3.3022495425620632209318241009873085453053918592203e-19,1.1510190139820579978283586092451418949262337624823e-19
5e-18,33.081917399939172930619037913190278354542549064983,2.2076457741336517823084646938036122256357055845823e-19,1.6405600049963354804556890665128810190531509595511e-19,5.670857691373163018527756272907312065825546250312e-20
1e-18,33.644318434466514340951067047549677876002701055978,4.3307198326485732478327115870925667210291352054328e-20,3.2327211432231578922150236079520170176388495194411e-20,1.0979986894254153556176879791405497033902856859917e-20
5e-19,33.883162253117756420097915483096338444294237761636,2.1478651704452093483246975978000651716011206583025e-20,1.605459640885188380201674696328190981341703205856e-20,5.424055295600209681230229014718741902594174524465e-21
1e-19,34.430275418706666284962921321832790835830197126173,4.2177849036977593283557976360943342123991486950744e-21,3.1399124155783222354452742386056082339379869189356e-21,1.0778724881194370929105233974887259784611617761388e-21
