delta_zcdp,epsilon,delta_fdp_first_term,delta_fdp_second_term,delta_fdp
5e-1,8.6713966458383198610191205895232251030349356444878,0.11951594582433430193624106946677726465689308542781,0.043946738013498676496028007978740667927607661403713,0.075569207810835625440213061488036596729285424024097
1e-1,11.722640147935651532147265159134133779078549105053,0.015937847548938152886923237136535735723783888863359,0.0072885652628309170465305137326287823332272325019102,0.0086492822861072358403927234039069533905566563614488
5e-2,12.673340690670768485878004085313284122055101191436,0.0071876301893515790708533558291094227256278415792763,0.0034589754351864382024850058496806752384525976877494,0.0037286547541651408683683499794287474871752438915269
1e-2,14.522906144822171446983689015849892625334233685326,0.001203259599964013188697137300510997698447965262759,0.00062931454024279918725838905420590423701866327945275,0.00057394505972121400143874824630509346142930198330625
5e-3,15.217210567773134694022770052245397621018937758513,0.00056646871439742617640782295499604782366915530117018,0.00030431131447515071694519871342799756484695954354957,0.00026215739992227545946262424156805025882219575762061
1e-3,16.671625817753005514738379466518576477673896369144,0.00010083229994662791833827690897360433168905050058163,0.000056932941567595246431842658302844688882328345018064,0.000043899358379032671906434250670759642806722155563566
5e-4,17.245065819464075069415781819490493336700202445963,0.000048305514655656205179107927821748586341190462515856,0.000027758672343893710875282990203277641996054993338543,0.000020546842311762494303824937618470944345135469177313
1e-4,18.483080295871303064294530318268267558157098210106,0.0000088562579147028321893300788820981477864884183121785,0.000005268555690808262029112798814949239225952654594352,0.0000035877022238945701602172800671489085605357637178265
5e-5,18.982625946909712141796808713532594953181983398303,0.0000042834769086345447639795975373021738889806600662625,0.0000025810959771257911440129136464638440263496892935298,0.0000017023809315087536199666838908383298626309707727327
1e-5,20.079003728602851376794634074850503858829093290368,0.00000079918859456365681124000033537568291393512669600617,0.00000049429555998031811422816889036615783626884607475047,0.0000003048930345833386970118314450095250776662806212557
5e-6,20.527414252511891213316665506019508421171241588988,0.00000038888427129400264540091189127114350151893281578371,0.00000024292464070635144553083926151034868610576075841953,0.00000014595963058765119987007262976079481541317205736418
1e-6,21.521828799067969562118118613180983807576065871147,0.0000000734027573814375384153359517900952499063273945087,0.000000046809847597801445336874655976110230894736431417436,0.000000026592909783636093078461295813985019011590963091264
5e-7,21.932157151401989509243193199895768006006022537999,0.000000035867110829005895117394770567105589242622137635937,0.000000023057054552597604273008443682464489893949704258598,0.000000012810056276408290844386326884641099348672433377339
1e-7,22.848643384774444806023779734079408980163099544135,0.0000000068261906173189827414980394779353714923977076492579,0.0000000044631688386313279868999574097663367689672128055728,0.0000000023630217786876547545980820681690347234304948436851
5e-8,23.229191999621605469252182735167132394479132690962,0.0000000033457368663148343234574566042837672526770241372806,0.0000000022021780213989578162437347152073530678226148169185,0.0000000011435588449158765072137218890764141848544093203621
1e-8,24.083612289644342893967378031699785250668467370652,0.00000000064071343505860621907811063302316536164202592658373,0.00000000042777204254670468576263239997758571656061682196157,0.00000000021294139251190153331547823304557964508140910462216
5e-9,24.440047614869050367248036389671519852744614253077,0.00000000031476914624386712853869353984187805555721433378086,0.00000000021134966197803856218881121856992391840217742347093,0.00000000010341948426582856634988232127195413715503691030993
1e-9,25.243520443806954596441795477402401337235647315159,0.000000000060569618868756599612981381772020662471814119558212,0.000000000041169040708519355527782099191256383759347782215539,0.000000000019400578160237244085199282580764278712466337342673
5e-10,25.579913226783424446330830495104039364625040104694,0.000000000029811627750052269711299935968689082502458778433166,0.000000000020362439640028655056725618497252337602799368829159,0.000000000009449188110023614654574317471436744899659409604007
1e-10,26.340588852722324353781974500154992685015224391761,0.0000000000057586515976956232791857970067043403930989855690599,0.0000000000039754522584904585985160473833813641233448736582877,0.0000000000017831993392051646806697496233229762697541119107722
5e-11,26.659979833330883491498426269077235612248255880349,0.0000000000028385734081307025383583547667757983458792642635722,0.0000000000019680291664500301399249855013152699855277354590649,0.0000000000008705442416806723984333692654605283603515288045073
1e-11,27.384043388357308604847965661029946077426326622372,0.00000000000055005247128467380713465892524116333437575944115126,0.00000000000038495661452107712196838076600627976474896807982885,0.00000000000016509585676359668516627815923488356962679136132241
5e-12,27.68877476808858225176812765629249164801567725676,0.00000000000027146939905228092119159389390577176877185763100942,0.00000000000019071440164130724328562146624914257811823126938869,0.00000000000008075499741097367790597242765662919065362636162073
1e-12,28.381051635506011029476758933037152955347792738288,0.000000000000052743059169631677134108453925945193921563951025852,0.000000000000037364630121694724807500980644699529369881111656433,0.000000000000015378429047936952326607473281245664551682839369419
5e-13,28.672972903541984920285976953238287225100388986965,0.000000000000026057479808922836524550994083679657103263761656301,0.00000000000001852291630555620142315259308695659860601889351387,0.000000000000007534563503366635101398400996723058497244868142431
1e-13,29.337313598087348845104741989269845770858738219659,0.000000000000005073894744674124189476384225111527142343226315536,0.0000000000000036339949733754215587268085279864716204896844797759,0.0000000000000014398997712987026307495756971250555218535418357601
5e-14,29.6179154160482843634743070593699385793673520008,0.0000000000000025089523017385723536450473288013653623543065444477,0.0000000000000018024885702746878683332845201890830365314475092624,7.064637314638844853117628086122823258228590351853e-16
1e-14,30.257450817366547623230352526301465048301079451376,4.8947512387787707002189927358413331674402256545171e-16,3.5405430889933304602800289236882851832881258013423e-16,1.3542081497854402399389638121530479841520998531748e-16
5e-15,30.527955487976122746188655674932495851322631771873,2.4222157847713292724939428985129987133115508575014e-16,1.7569831903200537457666167432770483952440223204287e-16,6.652325944512755267273261552359503180675285370727e-17
1e-15,31.145272105986784101591406607840672346123349451243,4.7333418814997466950541796970966369424682649860584e-17,3.4547816226634062210895131434493509636826480785394e-17,1.278560258836340473964666553647285978785616907519e-17
5e-16,31.406696680118558309645077590595652834786008499968,2.3438959822236264240514979633056469919456834944647e-17,1.7151516221391995437733352615526699602310079438406e-17,6.287443600844268802781627017529770317146755506241e-18
1e-16,32.003960591742606128589060636536535116314196420213,4.5869108166429839843684553185204393780054258192163e-18,3.375653537869093312740551405550611603016160396615e-18,1.2112572787738906716279039129698277749892654226013e-18
5e-17,32.257162093005765264931845755795889048265725622843,2.272718359328007735349137706497017948290589224079e-18,1.6765051437540491149362175447544549828140695511193e-18,5.962132155739586204129201617425629654765196729597e-19
1e-17,32.836208805604974149044925216248429563399098368351,4.4532989935058304104660800890550154900097724715921e-19,3.3022721815945643399706934911036501765148108133011e-19,1.151026811911266070495386597951365313494961658291e-19
5e-18,33.081917399939172930619037913190278354542549064983,2.2076548437974614316494239828811997975819884615606e-19,1.6405591040927137783449105694902237969486546935761e-19,5.670957397047476533045134133909760006333337679845e-20
1e-18,33.644318434466514340951067047549677876002701055978,4.3307257866471278511559485631228024962165119146643e-20,3.2325521161521631252721066640928711715730585319666e-20,1.0981736704949647258838418990299313246434533826977e-20
5e-19,33.883162253117756420097915483096338444294237761636,2.1478865726939816574260613818303116925681910602861e-20,1.6052588544427779520273206279101733555849903276509e-20,5.426277182512037053987407539201383369832007326352e-21
1e-19,34.430275418706666284962921321832790835830197126173,4.2177543535070336938645998434923655787775958534015e-21,3.1360418639742474590491689066043033937511877478879e-21,1.0817124895327862348154309368880621850264081055136e-21
5e-20,34.66279946600543461736723779443149715203433404249,2.0927205419981767658049531271673869186705177248765e-21,1.5326584885708422002727890166273214748672737845953e-21,5.600620534273345655321641105400654438032439402812e-22
1e-20,35.195807457205702753589268149701007717658186580736,4.1131912613172939235550626742292017888324778738909e-22,2.3719084168023459292457195199655054104431702016455e-22,1.7412828445149479943093431542636963783893076722454e-22
5e-21,35.422488239507887524770920519019079534739571817859,2.0416029018524998417940902378320309868821501986125e-22,6.1996284831442269644069178638430313491338536276505e-23,1.4216400535380771453533984514477278519687648358474e-22
1e-21,35.942428709133580142812828852282397109413924529952,4.0160385407911153349703864073780226252066412092747e-23,-1.2532919412650146124244578277094859971299633283611e-22,1.6548957953441261459214964684472882596506274492886e-22
