delta_zcdp,epsilon,delta_fdp_first_term,delta_fdp_second_term,delta_fdp
5e-1,8.6713966458383198610191205895232251030349356444878,0.11951597042755731575327277768508131525044515400199,0.043946763473795311082952681984602363797993115706712,0.075569206953762004670320095700478951452452038295278
1e-1,11.722640147935651532147265159134133779078549105053,0.015937816452476256496164942897729663886776781981794,0.0072885341340911160632626312221502305576991979638187,0.0086492823183851404329023116755794333290775840179753
5e-2,12.673340690670768485878004085313284122055101191436,0.0071876213368796343169805992458487355537227938138267,0.0034589665517145034031759931264078332524240870393785,0.0037286547851651309138046061194409023012987067744482
1e-2,14.522906144822171446983689015849892625334233685326,0.0012032624254203741217656432030213775682246130192071,0.0006293173609064640804429534657944625798236420509718,0.0005739450645139100413226897372269149884009709682353
5e-3,15.217210567773134694022770052245397621018937758513,0.00056646776195555428201621542787737135216459719406087,0.00030431036072758587623299314616032317945894813218417,0.0002621574012279684057832222817170481727056490618767
1e-3,16.671625817753005514738379466518576477673896369144,0.0001008321371224744654117899604558028562568567138097,0.000056932778974911867227173202341714993905373258114506,0.000043899358147562598184616758114087862351483455695194
5e-4,17.245065819464075069415781819490493336700202445963,0.000048305537018372090148446024283137086105640968417326,0.000027758694896072197204796393417115699628508590492433,0.000020546842122299892943649630866021386477132377924893
1e-4,18.483080295871303064294530318268267558157098210106,0.0000088562537829631032631491300354567216744480340044054,0.0000052685516111731205795243747924988626244594986587074,0.000003587702171789982683624755242957859049988535345698
5e-5,18.982625946909712141796808713532594953181983398303,0.000004283467508265797617252833526537198541971574133078,0.0000025810866020295393293088301944828384421576387517933,0.0000017023809062362582879440033320543600998139353812847
1e-5,20.079003728602851376794634074850503858829093290368,0.00000079918793520774621429955604641255415032012338650686,0.00000049429490414679597894684847924144821320803709359487,0.00000030489303106095023535270756717110593711208629291199
5e-6,20.527414252511891213316665506019508421171241588988,0.00000038888570794111803793068646210330947180635073312382,0.00000024292607864683351950332335023345544824636689904444,0.00000014595962929428451842736311186985402355998383407938
