Block,Block_Group,County,Prim,State,Tract_Subset,Tract_Subset_Group,US
11/10000,0/1,31/1000,239/2500,999/10000,4547/40000,0/1,73/10000
11/10000,0/1,31/1000,239/2500,999/10000,4547/40000,0/1,73/10000
11/10000,0/1,31/1000,239/2500,999/10000,4547/40000,0/1,73/10000
11/10000,0/1,31/1000,239/2500,999/10000,4547/40000,0/1,73/10000
11/10000,0/1,31/1000,239/2500,999/10000,4547/40000,0/1,73/10000
11/10000,0/1,31/1000,239/2500,999/10000,4547/40000,0/1,73/10000
11/10000,0/1,31/1000,239/2500,999/10000,4547/40000,0/1,73/10000
11/10000,0/1,31/1000,239/2500,999/10000,4547/40000,0/1,73/10000
11/10000,0/1,31/250,239/2500,999/10000,4547/10000,0/1,73/10000
11/10000,0/1,31/250,239/625,999/2500,4547/10000,0/1,73/2500
