Block,Block_Group,County,Prim,State,Tract_Subset,Tract_Subset_Group,US
11/10000,0/1,31/1000,239/5000,999/10000,0/1,12201/65000,73/10000
11/10000,0/1,31/1000,239/5000,999/10000,0/1,12201/65000,73/10000
11/10000,0/1,31/1000,239/5000,999/10000,0/1,12201/65000,73/10000
11/10000,0/1,31/1000,239/5000,999/10000,0/1,12201/65000,73/10000
11/10000,0/1,31/1000,239/5000,999/10000,0/1,12201/65000,73/10000
11/10000,0/1,31/1000,239/5000,999/10000,0/1,12201/65000,73/10000
11/10000,0/1,31/1000,239/5000,999/10000,0/1,12201/65000,73/10000
11/10000,0/1,31/1000,239/5000,999/10000,0/1,12201/65000,73/10000
11/10000,0/1,31/250,239/5000,999/10000,0/1,12201/65000,73/10000
11/10000,0/1,31/250,239/1250,999/2500,0/1,12201/16250,73/2500
