zeta,trade_off_alpha,trade_off_beta
-6.0,0.99999999999999830654535605549304397,-2.3152872844364873312147247722928359e-28
-5.9866666666666666666666666666666667,0.99999999999999799716528258073092684,-1.9394783024514994474317307697806968e-28
-5.9733333333333333333333333333333333,0.9999999999999976323393632936884617,-1.4659632464467408232478263391619098e-28
-5.96,0.9999999999999972022745423294437386,-8.6959973122483860858553449198451418e-29
-5.9466666666666666666666666666666667,0.99999999999999669552821999722634769,-1.188449252996293587077615515228457e-29
-5.9333333333333333333333333333333333,0.99999999999999609869121126222533734,8.2585626418248543923130911186803149e-29
-5.92,0.99999999999999539605692575428945093,2.0140842225575461374099768813760631e-28
-5.9066666666666666666666666666666667,0.99999999999999456913199330149549588,3.5081520633343892677558269579879816e-28
-5.8933333333333333333333333333333333,0.99999999999999359658618498799686191,5.3855143238608865016048477039135834e-28
-5.88,0.9999999999999924531577299017467767,7.7437073754463139830950578738749734e-28
-5.8666666666666666666666666666666667,0.99999999999999110941422468061904106,1.0704576102664526941679286444164799e-27
-5.8533333333333333333333333333333333,0.99999999999998953095919397061072594,1.4420505481790384163588403677706514e-27
-5.84,0.99999999999998767761320675279724312,1.9081989844947362310189351054208369e-27
-5.8266666666666666666666666666666667,0.99999999999998550246304680456759395,2.4927056670587845657345544067011359e-27
-5.8133333333333333333333333333333333,0.99999999999998295043725572982002367,3.2253945357650713882991829783849687e-27
-5.8,0.99999999999997995825451079947374459,4.1432128886994863803181775755402419e-27
-5.7866666666666666666666666666666667,0.99999999999997645117031360575272177,5.2925497796435544301218450996997114e-27
-5.7733333333333333333333333333333333,0.99999999999997234239186828748355836,6.731170829184271862214416032679978e-27
-5.76,0.99999999999996753081190077760482473,8.5310938412935201765268298889661893e-27
-5.7466666666666666666666666666666667,0.99999999999996189870167940686896583,1.0782064852970905231517399534651314e-26
-5.7333333333333333333333333333333333,0.99999999999995530904124702832327224,1.3595871999582366049670341476978462e-26
-5.72,0.99999999999994760146342815330510043,1.711215258387136197606752365821925e-26
-5.7066666666666666666666666666666667,0.99999999999993859239162410923733376,2.1503317564227726578799920439400859e-26
-5.6933333333333333333333333333333333,0.99999999999992806556971869577477909,2.698519748283486924474461701862498e-26
-5.68,0.99999999999991577072761366524742177,3.3825695715447728379306952380446124e-26
-5.6666666666666666666666666666666667,0.99999999999990141725156394064582851,4.2357765618660076012899923418257046e-26
-5.6533333333333333333333333333333333,0.99999999999988466783532899264280157,5.2995019580164927196466772737148531e-26
-5.64,0.99999999999986513115751263167566281,6.6251038158571140049590742553780056e-26
-5.6266666666666666666666666666666667,0.99999999999984235058345418726304751,8.2765383577596773910086215508675756e-26
-5.6133333333333333333333333333333333,0.99999999999981580539157412320754904,1.0332507881585600788403325676831794e-25
-5.6,0.99999999999978488377112660927946256,1.289124450701849502120753186443211e-25
-5.5866666666666666666666666666666667,0.99999999999974888007611200586496268,1.6074290775114004445070221237733246e-25
-5.5733333333333333333333333333333333,0.99999999999970697753543945882145238,2.0032226802909768848787328338753996e-25
-5.56,0.99999999999965823118666816891427298,2.4951523788049545951387357062074648e-25
-5.5466666666666666666666666666666667,0.9999999999996015482581873155373491,3.1062994956937889499061099641127865e-25
-5.5333333333333333333333333333333333,0.99999999999953565737996867647330431,3.8653192738229603328023056472250887e-25
-5.52,0.99999999999945911436301397411808853,4.8073552261730825766197288613031912e-25
-5.5066666666666666666666666666666667,0.99999999999937022677923055971567246,5.9761426757020384265256475829219512e-25
-5.4933333333333333333333333333333333,0.99999999999926704926061545915003148,7.4256220980260228788471349448128997e-25
-5.48,0.99999999999914733730925235083018519,9.2224108573826218064267986783213775e-25
